subject,cond1f2s,p_eideo,p_sideo,p_oideo,age,sex,fast1,fast2,fast3,fast4,fast5,fast6,secs1,secs2,secs3,secs4,secs5,secs6,secs7,secs8,secs9,secs10,srs1,srs2,srs3,srs4,srs5,srs6,srs7,srs8,srs9,srs10,srs11,srs12,srs13,srs14,srs15,srs16,srs17,srs18,srs19,srs20,srs21,srs22,srs23,srs24,srs25,srs26,srs27,srs28,srs29,srs30
64,1,5,5,5,19,2,2,5,5,4,5,5,7,4,6,7,3,5,5,4,6,7,4,4,6,6,7,2,4,4,7,5,6,6,7,3,4,5,6,6,7,5,7,4,4,7,6,4,2,4,6,6
65,2,7,6,5,19,1,5,6,5,2,7,6,4,6,6,6,3,5,4,5,5,4,5,4,5,5,6,2,4,5,6,7,7,4,5,4,6,5,7,4,4,4,6,5,4,6,6,4,4,4,5,4
66,2,9,8,9,18,2,1,4,5,6,2,3,7,5,6,7,2,5,7,7,4,7,5,6,5,3,7,4,5,7,7,7,6,4,4,4,7,5,7,7,7,5,7,2,4,7,6,3,4,1,7,3
67,2,5,5,5,19,1,7,6,7,7,7,6,7,7,5,5,3,1,7,5,4,5,6,6,6,5,7,4,5,6,7,7,4,5,6,6,7,7,2,7,7,6,6,7,7,7,7,5,5,3,5,3
68,1,6,4,6,19,1,4,4,6,1,6,5,7,1,7,7,2,7,7,6,4,7,6,5,5,6,6,4,5,7,6,6,6,5,5,6,7,7,7,3,6,6,7,5,5,7,6,6,5,7,6,4
69,1,7,4,7,18,1,2,3,4,3,1,5,6,5,6,6,4,6,5,6,6,6,5,5,5,5,6,5,6,6,6,5,5,6,4,3,6,5,6,7,6,6,7,4,5,6,6,4,2,3,6,2
70,2,2,1,3,19,2,7,6,7,5,7,5,2,5,7,6,2,3,3,4,6,6,6,7,6,5,7,4,5,6,7,7,7,5,7,6,5,3,5,5,7,5,7,7,6,7,7,4,5,5,4,4
71,1,5,5,5,19,1,4,4,4,3,5,4,4,5,7,7,3,7,7,7,5,7,3,2,7,5,6,4,7,6,4,3,5,3,4,5,6,3,7,6,4,3,7,4,3,5,5,3,4,4,6,6
72,2,6,7,7,19,1,2,5,5,1,6,4,6,3,4,7,2,5,7,7,6,6,4,3,6,5,7,5,6,6,4,7,6,5,5,5,5,4,7,6,6,5,6,2,4,5,3,5,3,6,6,5
73,1,9,9,9,19,2,3,5,1,1,5,7,7,7,7,7,4,7,7,7,6,7,7,7,7,7,6,4,6,7,5,5,7,7,6,4,7,6,7,6,5,6,7,4,6,7,7,6,5,4,7,5
74,2,5,5,5,19,1,7,1,4,4,5,4,4,3,7,3,3,4,4,3,7,7,7,7,6,6,7,3,3,7,7,7,7,4,6,1,7,4,4,7,6,7,7,7,5,7,7,1,4,7,4,7
75,1,9,9,9,18,2,1,4,2,1,1,7,1,7,7,7,6,7,7,7,2,7,5,2,2,2,6,2,7,7,7,4,6,6,2,2,7,5,7,7,4,4,7,1,4,6,7,7,2,7,7,4
76,1,5,5,5,19,2,1,3,5,4,5,6,7,5,6,7,3,5,5,6,4,7,6,6,5,5,7,3,7,6,7,7,6,5,5,4,6,4,6,6,6,5,6,5,5,7,6,5,4,4,5,3
76,1,8,8,8,18,2,4,4,4,4,5,4,4,3,5,7,3,5,7,6,5,6,4,4,5,6,7,4,5,5,7,6,6,4,5,5,6,5,7,5,7,5,7,3,4,7,7,5,2,4,6,4
78,2,7,2,3,18,2,7,5,4,3,4,5,3,4,5,4,4,4,5,4,4,6,5,7,4,4,6,3,4,6,7,7,5,4,4,3,6,4,4,5,2,5,6,5,4,6,5,4,4,4,4,6
79,1,9,9,9,18,2,7,5,7,5,6,7,3,5,7,7,5,7,7,6,5,7,6,7,5,4,4,4,6,5,7,7,7,5,6,5,6,5,7,7,4,4,7,7,5,6,5,4,7,4,7,6
80,2,5,5,5,19,2,4,6,4,1,7,5,7,4,7,7,3,6,6,5,4,6,3,7,4,4,6,2,3,6,7,7,5,3,4,4,6,4,4,5,1,3,7,4,4,7,5,5,5,5,3,4
81,2,6,5,6,19,2,1,5,5,5,5,7,7,5,7,7,2,6,7,6,5,6,6,6,7,2,7,5,6,6,7,4,6,6,7,6,5,5,6,7,7,7,7,7,6,7,5,3,4,6,5,5
82,2,5,5,5,18,1,5,6,7,7,6,6,4,7,7,5,6,5,3,6,7,7,7,5,6,7,7,5,6,6,7,4,7,7,6,6,7,6,6,7,7,6,7,7,6,7,7,4,6,6,5,6
83,1,8,8,9,18,2,1,4,3,2,4,5,7,3,6,7,7,4,7,7,6,7,6,7,5,3,7,2,7,4,3,7,3,2,4,4,4,7,7,3,3,3,7,5,7,4,4,7,7,4,7,3
84,1,6,4,6,19,2,5,5,4,2,5,2,3,3,5,7,5,5,7,5,6,5,5,4,7,7,7,3,7,7,7,5,6,5,3,3,6,3,7,6,7,4,7,4,6,7,7,3,1,4,6,5
85,1,3,1,2,18,2,6,2,4,3,3,3,5,4,4,4,2,4,3,3,5,4,3,6,5,3,6,3,6,2,7,6,4,5,3,5,3,2,4,6,6,5,3,7,6,7,6,3,3,4,3,3
86,2,8,6,7,19,1,3,7,1,1,4,7,7,7,7,6,6,7,6,5,4,7,5,7,5,6,5,5,5,7,7,3,6,4,5,2,6,6,6,7,6,4,7,7,5,7,4,4,1,7,7,4
87,1,3,5,5,20,2,6,1,2,1,6,3,7,3,6,6,5,1,6,5,5,5,5,2,6,6,7,3,6,5,7,7,7,4,7,3,5,6,5,2,7,6,7,7,7,7,6,7,6,7,6,6
88,2,6,6,5,19,2,6,5,3,1,3,5,3,5,5,4,4,6,5,2,4,7,5,7,4,5,7,4,4,6,6,5,6,6,5,4,7,2,5,7,6,4,3,7,5,6,5,1,1,3,4,3
89,1,4,3,4,19,2,7,5,7,3,7,7,2,7,7,3,1,4,3,4,4,7,7,7,7,4,7,4,7,7,7,7,7,5,7,3,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7
90,1,7,7,7,18,2,2,5,7,3,7,5,4,5,7,7,3,6,7,7,3,7,4,5,5,4,7,3,5,7,7,6,4,4,6,3,6,4,7,3,6,4,7,2,6,7,6,4,3,3,7,6
91,1,9,8,8,19,3,3,7,4,4,3,6,7,5,5,7,4,5,5,5,5,7,7,5,6,5,5,5,6,7,6,5,5,6,6,6,6,6,6,7,5,6,7,6,6,3,6,6,3,2,6,5
92,1,5,5,5,18,1,1,4,7,1,5,4,5,1,5,4,1,4,4,1,4,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,4,4,7,7,7,7,7,7,7,4,5,7,1,4
93,2,7,8,7,21,1,2,6,3,2,4,5,7,6,6,6,3,7,7,6,5,6,5,5,6,6,7,3,6,5,7,1,4,6,4,3,6,5,6,6,7,4,6,4,4,7,6,4,1,5,6,3
94,2,1,1,4,19,2,7,2,3,1,1,6,3,1,7,4,7,7,1,1,2,7,6,7,5,1,6,5,5,5,7,7,6,5,2,3,7,6,5,6,5,4,1,7,3,5,5,2,1,1,1,4
95,1,5,5,5,18,2,1,3,7,3,7,4,7,5,7,7,1,6,5,7,5,5,7,7,7,4,6,4,7,7,7,7,7,6,2,2,6,7,7,3,6,5,7,3,7,7,7,5,5,6,5,5
96,1,8,8,8,18,1,2,7,5,2,7,6,7,6,7,7,5,7,7,7,5,7,6,7,7,6,7,6,7,7,7,7,3,7,5,4,7,7,6,7,4,5,7,5,4,6,6,4,4,4,4,2
97,1,9,6,8,18,1,1,6,4,4,3,6,6,6,6,7,5,6,6,6,5,6,6,6,6,6,6,4,6,6,6,3,5,3,5,3,6,5,6,6,5,6,6,3,3,5,6,5,2,7,6,5
98,1,6,5,7,19,2,4,4,3,4,4,7,6,5,7,7,5,6,7,4,3,7,6,6,6,5,6,7,5,6,7,6,5,6,7,5,6,7,7,7,5,7,7,7,6,6,6,4,6,6,4,3
99,1,5,3,4,20,1,4,2,7,3,7,3,6,3,3,7,4,1,7,6,6,7,6,5,4,5,7,6,4,5,7,7,5,5,7,5,7,5,5,6,7,3,7,4,5,7,7,4,5,5,3,2
100,1,6,5,5,18,3,5,6,5,4,3,6,4,5,7,5,3,6,6,6,5,5,6,6,6,4,7,5,5,7,7,4,7,4,5,5,7,5,7,7,7,7,7,6,7,6,6,5,3,5,7,5
101,1,3,4,3,18,2,7,7,6,7,6,3,1,4,5,6,2,5,3,6,7,7,4,7,7,6,7,5,4,6,7,7,7,7,7,7,3,7,5,7,7,6,7,7,6,7,7,7,3,4,6,2
102,1,2,3,3,18,2,4,3,7,7,7,4,6,4,6,6,1,5,1,2,7,6,4,6,6,6,7,6,6,5,7,7,5,5,7,7,5,3,5,5,7,5,7,7,7,7,7,2,5,6,2,6
103,2,7,3,6,18,2,7,5,4,2,5,5,1,4,5,5,3,5,3,5,4,2,5,7,5,2,5,3,6,5,7,3,6,4,5,3,5,4,5,4,5,3,7,6,6,7,6,5,4,4,5,3
